"main_sound","level","hanja","meaning","radical","strokes","total_strokes","unicode_decimal","unicode_hex","unicode_escape"
"념","5급Ⅱ","念","[[['생각'], ['념']]]","心","4","8","24565","5FF5","U+5FF5"
"념","특급Ⅱ","拈","[[['집을'], ['념']], [['집을'], ['점']]]","手","5","8","25288","62C8","U+62C8"
"념","특급Ⅱ","恬","[[['편안할'], ['념']]]","心","6","9","24684","606C","U+606C"
"념","특급Ⅱ","捻","[[['비틀'], ['념']]]","手","8","11","25467","637B","U+637B"
"녕","3급Ⅱ","寧","[[['편안'], ['녕']]]","宀","11","14","23527","5BE7","U+5BE7"
"녕","특급Ⅱ","寗","[[['차라리'], ['녕']]]","宀","10","13","23511","5BD7","U+5BD7"
"녕","특급Ⅱ","獰","[[['사나울'], ['녕']]]","犬","14","17","29552","7370","U+7370"
"녕","특급","甯","[[['차라리'], ['녕']]]","用","7","12","29999","752F","U+752F"
"녕","특급","佞","[[['재주있을', '아첨할'], ['녕']]]","人","5","7","20318","4F5E","U+4F5E"
"노","4급Ⅱ","怒","[[['성낼'], ['노']]]","心","5","9","24594","6012","U+6012"
"노","4급Ⅱ","努","[[['힘쓸'], ['노']]]","力","5","7","21162","52AA","U+52AA"
"노","3급Ⅱ","奴","[[['종'], ['노']]]","女","2","5","22900","5974","U+5974"
"노","1급","弩","[[['쇠뇌'], ['노']]]","弓","5","8","24361","5F29","U+5F29"
"노","1급","駑","[[['둔한말'], ['노']]]","馬","5","15","39377","99D1","U+99D1"
"노","특급Ⅱ","瑙","[[['마노'], ['노']]]","玉","9","13","29785","7459","U+7459"
"노","특급","峱","[[['산이름'], ['노']]]","山","7","10","23793","5CF1","U+5CF1"
"노","특급","猱","[[['원숭이'], ['노']]]","犬","9","12","29489","7331","U+7331"
"노","특급","呶","[[['지껄일'], ['노']]]","口","5","8","21622","5476","U+5476"
"노","특급","孥","[[['자식'], ['노']]]","子","5","8","23397","5B65","U+5B65"
"노","특급","砮","[[['돌살촉'], ['노']]]","石","5","10","30766","782E","U+782E"
"노","특급","怓","[[['어지러울'], ['노']]]","心","5","8","24595","6013","U+6013"
"농","7급Ⅱ","農","[[['농사'], ['농']]]","辰","6","13","36786","8FB2","U+8FB2"
"농","2급","濃","[[['짙을'], ['농']]]","水","13","16","28611","6FC3","U+6FC3"
"농","1급","膿","[[['고름'], ['농']]]","肉","13","17","33215","81BF","U+81BF"
"농","특급","穠","[[['무성할'], ['농']]]","禾","13","18","31328","7A60","U+7A60"
"뇌","3급Ⅱ","腦","[[['골', '뇌수'], ['뇌']]]","肉","9","13","33126","8166","U+8166"
"뇌","3급","惱","[[['번뇌할'], ['뇌']]]","心","9","12","24817","60F1","U+60F1"
"뇌","특급","餒","[[['주릴'], ['뇌']]]","食","7","16","39186","9912","U+9912"
"뇨","2급","尿","[[['오줌'], ['뇨']]]","尸","4","7","23615","5C3F","U+5C3F"
"뇨","1급","撓","[[['휠'], ['뇨']]]","手","12","15","25747","6493","U+6493"
"뇨","특급Ⅱ","鬧","[[['지껄일'], ['뇨']]]","鬥","5","15","39719","9B27","U+9B27"
"누","특급","耨","[[['호미'], ['누']]]","耒","10","16","32808","8028","U+8028"
"눈","특급Ⅱ","嫩","[[['어릴'], ['눈']]]","女","11","14","23273","5AE9","U+5AE9"
"눌","1급","訥","[[['말더듬거릴'], ['눌']]]","言","4","11","35365","8A25","U+8A25"
"뉴","1급","紐","[[['맺을'], ['뉴']]]","糸","4","10","32016","7D10","U+7D10"
"뉴","특급Ⅱ","杻","[[['싸리'], ['뉴']], [['수갑'], ['추']]]","木","4","8","26491","677B","U+677B"
"뉴","특급","忸","[[['익을'], ['뉴']], [['부끄러울'], ['뉵']]]","心","4","7","24568","5FF8","U+5FF8"
"뉴","특급","鈕","[[['인꼭지'], ['뉴']]]","金","4","12","37397","9215","U+9215"
"뉴","특급","狃","[[['익숙할'], ['뉴']]]","犬","4","7","29379","72C3","U+72C3"
"능","5급Ⅱ","能","[[['능할'], ['능']]]","肉","6","10","33021","80FD","U+80FD"
"니","3급Ⅱ","泥","[[['진흙'], ['니']]]","水","5","8","27877","6CE5","U+6CE5"
"니","2급","尼","[[['여승'], ['니']]]","尸","2","5","23612","5C3C","U+5C3C"
"니","특급","你","[[['너'], ['니']]]","人","5","7","20320","4F60","U+4F60"
"니","특급","柅","[[['굄목'], ['니']]]","木","5","9","26565","67C5","U+67C5"
"니","특급","怩","[[['부끄러워할'], ['니']]]","心","5","8","24617","6029","U+6029"
"닉","2급","溺","[[['빠질'], ['닉']]]","水","10","13","28346","6EBA","U+6EBA"
"닉","1급","匿","[[['숨길'], ['닉']]]","匸","9","11","21311","533F","U+533F"
"닐","특급","昵","[[['친할'], ['닐']], [['아비사당'], ['녜']]]","日","5","9","26165","6635","U+6635"
"다","6급","多","[[['많을'], ['다']]]","夕","3","6","22810","591A","U+591A"
"다","3급Ⅱ","茶","[[['차'], ['다']], [['차'], ['차']]]","艸","6","10","33590","8336","U+8336"
"다","특급","爹","[[['아비'], ['다']]]","父","6","10","29241","7239","U+7239"
"단","6급Ⅱ","短","[[['짧을'], ['단']]]","矢","7","12","30701","77ED","U+77ED"
"단","5급Ⅱ","團","[[['둥글'], ['단']]]","囗","11","14","22296","5718","U+5718"
"단","5급","壇","[[['단'], ['단']]]","土","13","16","22727","58C7","U+58C7"
"단","4급Ⅱ","斷","[[['끊을'], ['단']]]","斤","14","18","26039","65B7","U+65B7"
"단","4급Ⅱ","單","[[['홑'], ['단']]]","口","9","12","21934","55AE","U+55AE"
